time,wx,wy,wz
0.0000,-0.00000000,-0.00000000,0.00000000
4.0000,0.00015045,0.00085263,-0.00173631
8.0000,0.00029679,0.00165205,-0.00340147
12.0000,0.00044178,0.00239438,-0.00499808
16.0000,0.00058793,0.00307628,-0.00652833
20.0000,0.00073742,0.00369496,-0.00799395
24.0000,0.00089222,0.00424814,-0.00939630
28.0000,0.00105398,0.00473400,-0.01073632
32.0000,0.00122412,0.00515118,-0.01201456
36.0000,0.00140378,0.00549878,-0.01323121
40.0000,0.00159382,0.00577636,-0.01438607
44.0000,0.00179485,0.00598390,-0.01547864
48.0000,0.00200716,0.00612187,-0.01650806
52.0000,0.00223077,0.00619119,-0.01747322
56.0000,0.00246539,0.00619328,-0.01837273
60.0000,0.00271043,0.00613003,-0.01920498
64.0000,0.00296498,0.00600384,-0.01996817
68.0000,0.00322783,0.00581761,-0.02066038
72.0000,0.00349745,0.00557476,-0.02127959
76.0000,0.00377203,0.00527920,-0.02182377
80.0000,0.00404945,0.00493533,-0.02229089
84.0000,0.00432733,0.00454804,-0.02267901
88.0000,0.00460304,0.00412266,-0.02298635
92.0000,0.00487374,0.00366494,-0.02321131
96.0000,0.00513639,0.00318098,-0.02335253
100.0000,0.00538778,0.00267720,-0.02340896
104.0000,0.00562461,0.00216027,-0.02337989
108.0000,0.00584350,0.00163704,-0.02326497
112.0000,0.00604103,0.00111444,-0.02306423
116.0000,0.00621381,0.00059943,-0.02277811
120.0000,0.00635850,0.00009890,-0.02240740
124.0000,0.00647186,-0.00038044,-0.02195332
128.0000,0.00655079,-0.00083209,-0.02141738
132.0000,0.00659237,-0.00124991,-0.02080143
136.0000,0.00659387,-0.00162813,-0.02010754
140.0000,0.00655281,-0.00196150,-0.01933800
144.0000,0.00646696,-0.00224527,-0.01849519
148.0000,0.00633435,-0.00247531,-0.01758155
152.0000,0.00615331,-0.00264813,-0.01659951
156.0000,0.00592244,-0.00276094,-0.01555136
160.0000,0.00564067,-0.00281164,-0.01443923
164.0000,0.00530720,-0.00279891,-0.01326498
168.0000,0.00492155,-0.00272216,-0.01203014
172.0000,0.00448354,-0.00258161,-0.01073585
176.0000,0.00399327,-0.00237825,-0.00938280
180.0000,0.00345118,-0.00211391,-0.00797115
184.0000,0.00285799,-0.00179122,-0.00650053
188.0000,0.00221474,-0.00141367,-0.00497000
192.0000,0.00152279,-0.00098562,-0.00337797
196.0000,0.00078386,-0.00051232,-0.00172225
200.0000,0.00000000,0.00000000,0.00000000
