time,ax,ay,az
0.0000,0.00037284,0.00049190,0.00083343
4.0000,0.00038784,0.00047112,0.00074647
8.0000,0.00040283,0.00045035,0.00065951
12.0000,0.00041783,0.00042957,0.00057254
16.0000,0.00043282,0.00040880,0.00048558
20.0000,0.00044781,0.00038802,0.00039862
24.0000,0.00046281,0.00036725,0.00031166
28.0000,0.00047780,0.00034647,0.00022470
32.0000,0.00049280,0.00032570,0.00013773
36.0000,0.00050779,0.00030492,0.00005077
40.0000,0.00052278,0.00028415,-0.00003619
44.0000,0.00053778,0.00026337,-0.00012315
48.0000,0.00055277,0.00024259,-0.00021011
52.0000,0.00054615,0.00022167,-0.00026652
56.0000,0.00051085,0.00020193,-0.00027838
60.0000,0.00046846,0.00018352,-0.00027625
64.0000,0.00042608,0.00016511,-0.00027411
68.0000,0.00038370,0.00014671,-0.00027198
72.0000,0.00034131,0.00012830,-0.00026984
76.0000,0.00029893,0.00010990,-0.00026771
80.0000,0.00025655,0.00009149,-0.00026557
84.0000,0.00021417,0.00007308,-0.00026344
88.0000,0.00017178,0.00005468,-0.00026130
92.0000,0.00012940,0.00003627,-0.00025917
96.0000,0.00008702,0.00001786,-0.00025703
100.0000,0.00004463,-0.00000054,-0.00025490
104.0000,0.00000225,-0.00001895,-0.00025276
108.0000,-0.00004013,-0.00003735,-0.00025063
112.0000,-0.00008252,-0.00005576,-0.00024849
116.0000,-0.00012490,-0.00007417,-0.00024636
120.0000,-0.00016728,-0.00009257,-0.00024422
124.0000,-0.00020966,-0.00011098,-0.00024209
128.0000,-0.00025205,-0.00012938,-0.00023996
132.0000,-0.00029443,-0.00014779,-0.00023782
136.0000,-0.00033681,-0.00016620,-0.00023569
140.0000,-0.00037920,-0.00018460,-0.00023355
144.0000,-0.00042158,-0.00020301,-0.00023142
148.0000,-0.00046396,-0.00022141,-0.00022928
152.0000,-0.00049594,-0.00024100,-0.00019318
156.0000,-0.00051752,-0.00026175,-0.00012310
160.0000,-0.00053909,-0.00028251,-0.00005302
164.0000,-0.00056067,-0.00030327,0.00001705
168.0000,-0.00058224,-0.00032403,0.00008713
172.0000,-0.00060382,-0.00034479,0.00015721
176.0000,-0.00062539,-0.00036554,0.00022728
180.0000,-0.00064697,-0.00038630,0.00029736
184.0000,-0.00066854,-0.00040706,0.00036744
188.0000,-0.00069011,-0.00042782,0.00043751
192.0000,-0.00071169,-0.00044858,0.00050759
196.0000,-0.00073327,-0.00046934,0.00057767
