time,taux,tauy,tauz
0.0000,-0.00000248,0.00001912,-0.00004413
4.0000,-0.00000240,0.00001793,-0.00004232
8.0000,-0.00000230,0.00001672,-0.00004054
12.0000,-0.00000219,0.00001548,-0.00003879
16.0000,-0.00000205,0.00001423,-0.00003706
20.0000,-0.00000190,0.00001297,-0.00003535
24.0000,-0.00000173,0.00001171,-0.00003365
28.0000,-0.00000155,0.00001046,-0.00003195
32.0000,-0.00000135,0.00000922,-0.00003026
36.0000,-0.00000115,0.00000800,-0.00002857
40.0000,-0.00000093,0.00000681,-0.00002687
44.0000,-0.00000071,0.00000565,-0.00002516
48.0000,-0.00000048,0.00000453,-0.00002344
52.0000,-0.00000026,0.00000345,-0.00002171
56.0000,-0.00000003,0.00000243,-0.00001995
60.0000,0.00000019,0.00000146,-0.00001817
64.0000,0.00000041,0.00000056,-0.00001637
68.0000,0.00000061,-0.00000027,-0.00001455
72.0000,0.00000080,-0.00000102,-0.00001271
76.0000,0.00000097,-0.00000169,-0.00001084
80.0000,0.00000112,-0.00000227,-0.00000895
84.0000,0.00000125,-0.00000275,-0.00000703
88.0000,0.00000134,-0.00000314,-0.00000510
92.0000,0.00000140,-0.00000343,-0.00000316
96.0000,0.00000142,-0.00000361,-0.00000120
100.0000,0.00000141,-0.00000369,0.00000077
104.0000,0.00000135,-0.00000366,0.00000274
108.0000,0.00000124,-0.00000353,0.00000471
112.0000,0.00000108,-0.00000329,0.00000668
116.0000,0.00000088,-0.00000295,0.00000864
120.0000,0.00000063,-0.00000250,0.00001059
124.0000,0.00000032,-0.00000196,0.00001252
128.0000,-0.00000003,-0.00000133,0.00001443
132.0000,-0.00000044,-0.00000062,0.00001632
136.0000,-0.00000089,0.00000018,0.00001819
140.0000,-0.00000139,0.00000105,0.00002003
144.0000,-0.00000194,0.00000199,0.00002184
148.0000,-0.00000253,0.00000298,0.00002363
152.0000,-0.00000316,0.00000402,0.00002539
156.0000,-0.00000382,0.00000510,0.00002713
160.0000,-0.00000451,0.00000622,0.00002884
164.0000,-0.00000523,0.00000736,0.00003054
168.0000,-0.00000597,0.00000851,0.00003222
172.0000,-0.00000673,0.00000967,0.00003388
176.0000,-0.00000750,0.00001083,0.00003555
180.0000,-0.00000828,0.00001197,0.00003721
184.0000,-0.00000905,0.00001309,0.00003888
188.0000,-0.00000983,0.00001418,0.00004056
192.0000,-0.00001059,0.00001522,0.00004226
196.0000,-0.00001133,0.00001622,0.00004399
