time,x,y,z
0.0000,0.00000000,-1.00000000,1.00000000
4.0000,0.00698274,-1.00406482,1.00666743
8.0000,0.02005093,-1.00042549,1.02597404
12.0000,0.03944446,-0.98941441,1.05652843
16.0000,0.06540325,-0.97136398,1.09693921
20.0000,0.09816719,-0.94660660,1.14581500
24.0000,0.13797621,-0.91547468,1.20176439
28.0000,0.18507020,-0.87830063,1.26339600
32.0000,0.23968907,-0.83541685,1.32931842
36.0000,0.30207272,-0.78715574,1.39814028
40.0000,0.37246106,-0.73384970,1.46847018
44.0000,0.45109399,-0.67583115,1.53891671
48.0000,0.53821142,-0.61343249,1.60808850
52.0000,0.63405327,-0.54698612,1.67459415
56.0000,0.73868651,-0.47682565,1.73728671
60.0000,0.85177576,-0.40327643,1.79562003
64.0000,0.97269950,-0.32664365,1.84951634
68.0000,1.10077958,-0.24722181,1.89900978
72.0000,1.23533788,-0.16530540,1.94413452
76.0000,1.37569628,-0.08118892,1.98492470
80.0000,1.52117664,0.00483313,2.02141448
84.0000,1.67110084,0.09246625,2.05363802
88.0000,1.82479074,0.18141594,2.08162948
92.0000,1.98156822,0.27138772,2.10542301
96.0000,2.14075516,0.36208707,2.12505277
100.0000,2.30167341,0.45321950,2.14055291
104.0000,2.46364486,0.54449051,2.15195759
108.0000,2.62599137,0.63560561,2.15930096
112.0000,2.78803481,0.72627029,2.16261719
116.0000,2.94909706,0.81619006,2.16194042
120.0000,3.10849999,0.90507042,2.15730481
124.0000,3.26556547,0.99261687,2.14874453
128.0000,3.41961537,1.07853491,2.13629372
132.0000,3.56997156,1.16253005,2.11998654
136.0000,3.71595591,1.24430779,2.09985715
140.0000,3.85689030,1.32357363,2.07593970
144.0000,3.99209660,1.40003308,2.04826835
148.0000,4.12089668,1.47339162,2.01687727
152.0000,4.24261241,1.54335478,1.98180059
156.0000,4.35664889,1.60961863,1.94334425
160.0000,4.46257769,1.67186047,1.90235769
164.0000,4.56005361,1.72974815,1.85996216
168.0000,4.64873146,1.78294957,1.81727886
172.0000,4.72826604,1.83113259,1.77542902
176.0000,4.79831216,1.87396508,1.73553388
180.0000,4.85852461,1.91111493,1.69871464
184.0000,4.90855820,1.94225000,1.66609254
188.0000,4.94806773,1.96703816,1.63878881
192.0000,4.97670801,1.98514731,1.61792466
196.0000,4.99413384,1.99624530,1.60462131
200.0000,5.00000000,2.00000000,1.60000000
