time,q0,q1,q2,q3
0.0000,-0.00000000,1.00000043,-0.00000000,-0.00000000
4.0000,-0.00015046,1.00000085,0.00173630,0.00085262
8.0000,-0.00059732,0.99998022,0.00687382,0.00335780
12.0000,-0.00133480,0.99987561,0.01527253,0.00740492
16.0000,-0.00236152,0.99959002,0.02679597,0.01287535
20.0000,-0.00367931,0.99899843,0.04130911,0.01964276
24.0000,-0.00529184,0.99795348,0.05867613,0.02757319
28.0000,-0.00720325,0.99629096,0.07875808,0.03652519
32.0000,-0.00941679,0.99383508,0.10141064,0.04634991
36.0000,-0.01193345,0.99040349,0.12648204,0.05689141
40.0000,-0.01475065,0.98581214,0.15381122,0.06798715
44.0000,-0.01786107,0.97987997,0.18322636,0.07946881
48.0000,-0.02125156,0.97243337,0.21454375,0.09116342
52.0000,-0.02490228,0.96331048,0.24756715,0.10289478
56.0000,-0.02878593,0.95236512,0.28208758,0.11448527
60.0000,-0.03286739,0.93947048,0.31788364,0.12575796
64.0000,-0.03710349,0.92452246,0.35472230,0.13653902
68.0000,-0.04144315,0.90744248,0.39236023,0.14666027
72.0000,-0.04582784,0.88817997,0.43054560,0.15596200
76.0000,-0.05019232,0.86671417,0.46902039,0.16429578
80.0000,-0.05446574,0.84305546,0.50752302,0.17152724
84.0000,-0.05857304,0.81724601,0.54579141,0.17753881
88.0000,-0.06243665,0.78935983,0.58356632,0.18223216
92.0000,-0.06597833,0.75950216,0.62059487,0.18553033
96.0000,-0.06912128,0.72780823,0.65663421,0.18737949
100.0000,-0.07179236,0.69444139,0.69145515,0.18775018
104.0000,-0.07392422,0.65959072,0.72484573,0.18663805
108.0000,-0.07545756,0.62346813,0.75661466,0.18406397
112.0000,-0.07634308,0.58630498,0.78659430,0.18007357
116.0000,-0.07654338,0.54834854,0.81464347,0.17473623
120.0000,-0.07603448,0.50985803,0.84064958,0.16814341
124.0000,-0.07480704,0.47110075,0.86453033,0.16040665
128.0000,-0.07286717,0.43234811,0.88623480,0.15165497
132.0000,-0.07023687,0.39387185,0.90574383,0.14203215
136.0000,-0.06695403,0.35594048,0.92306979,0.13169359
140.0000,-0.06307193,0.31881605,0.93825570,0.12080328
144.0000,-0.05865851,0.28275145,0.95137364,0.10953062
148.0000,-0.05379513,0.24798804,0.96252256,0.09804746
152.0000,-0.04857509,0.21475403,0.97182557,0.08652540
156.0000,-0.04310190,0.18326330,0.97942667,0.07513328
160.0000,-0.03748738,0.15371493,0.98548701,0.06403519
164.0000,-0.03184962,0.12629328,0.99018078,0.05338888
168.0000,-0.02631089,0.10116866,0.99369080,0.04334454
172.0000,-0.02099552,0.07849853,0.99620378,0.03404414
176.0000,-0.01602789,0.05842922,0.99790536,0.02562120
180.0000,-0.01153038,0.04109799,0.99897496,0.01820082
184.0000,-0.00762146,0.02663545,0.99958046,0.01190020
188.0000,-0.00441380,0.01516817,0.99987265,0.00682925
192.0000,-0.00201247,0.00682144,0.99997955,0.00309135
196.0000,-0.00051310,0.00172188,1.00000040,0.00078414
200.0000,0.00000000,-0.00000000,0.99999957,-0.00000000
