time,vx,vy,vz
0.0000,0.00100000,-0.00200000,-0.00000000
4.0000,0.00249137,-0.00003241,0.00333372
8.0000,0.00404272,0.00185208,0.00631959
12.0000,0.00565404,0.00365346,0.00895761
16.0000,0.00732535,0.00537175,0.01124778
20.0000,0.00905663,0.00700694,0.01319011
24.0000,0.01084788,0.00855902,0.01478459
28.0000,0.01269911,0.01002801,0.01603122
32.0000,0.01461032,0.01141389,0.01693000
36.0000,0.01658150,0.01271667,0.01748093
40.0000,0.01861266,0.01393635,0.01768402
44.0000,0.02070380,0.01507293,0.01753925
48.0000,0.02285491,0.01612640,0.01704664
52.0000,0.02506600,0.01709678,0.01620618
56.0000,0.02725062,0.01798345,0.01514009
60.0000,0.02929401,0.01879116,0.01402657
64.0000,0.03116786,0.01952523,0.01292158
68.0000,0.03287218,0.02018569,0.01182514
72.0000,0.03440697,0.02077252,0.01073723
76.0000,0.03577223,0.02128572,0.00965786
80.0000,0.03696795,0.02172530,0.00858703
84.0000,0.03799414,0.02209126,0.00752474
88.0000,0.03885081,0.02238359,0.00647099
92.0000,0.03953794,0.02260230,0.00542578
96.0000,0.04005553,0.02274738,0.00438910
100.0000,0.04040360,0.02281884,0.00336097
104.0000,0.04058213,0.02281667,0.00234137
108.0000,0.04059113,0.02274088,0.00133031
112.0000,0.04043059,0.02259146,0.00032780
116.0000,0.04010053,0.02236842,-0.00066618
120.0000,0.03960093,0.02207176,-0.00165162
124.0000,0.03893180,0.02170147,-0.00262852
128.0000,0.03809314,0.02125755,-0.00359688
132.0000,0.03708495,0.02074002,-0.00455671
136.0000,0.03590723,0.02014885,-0.00550799
140.0000,0.03455997,0.01948407,-0.00645073
144.0000,0.03304318,0.01874565,-0.00738494
148.0000,0.03135686,0.01793362,-0.00831061
152.0000,0.02950100,0.01704796,-0.00922773
156.0000,0.02751723,0.01608397,-0.01000044
160.0000,0.02544717,0.01503695,-0.01049284
164.0000,0.02329080,0.01390690,-0.01070493
168.0000,0.02104813,0.01269381,-0.01063672
172.0000,0.01871916,0.01139770,-0.01028820
176.0000,0.01630390,0.01001855,-0.00965937
180.0000,0.01380233,0.00855637,-0.00875024
184.0000,0.01121446,0.00701116,-0.00756081
188.0000,0.00854030,0.00538292,-0.00609106
192.0000,0.00577984,0.00367165,-0.00434101
196.0000,0.00293308,0.00187735,-0.00231066
200.0000,0.00000000,0.00000000,0.00000000
