time,wx,wy,wz
0.0000,-0.00000000,-0.00000000,0.00000000
4.0000,0.00015046,0.00085262,-0.00173631
8.0000,0.00029679,0.00165205,-0.00340147
12.0000,0.00044179,0.00239437,-0.00499809
16.0000,0.00058793,0.00307627,-0.00652833
20.0000,0.00073743,0.00369495,-0.00799396
24.0000,0.00089223,0.00424813,-0.00939631
28.0000,0.00105399,0.00473399,-0.01073633
32.0000,0.00122413,0.00515117,-0.01201457
36.0000,0.00140378,0.00549877,-0.01323122
40.0000,0.00159383,0.00577634,-0.01438608
44.0000,0.00179485,0.00598388,-0.01547865
48.0000,0.00200717,0.00612185,-0.01650807
52.0000,0.00223078,0.00619118,-0.01747324
56.0000,0.00246540,0.00619326,-0.01837274
60.0000,0.00271044,0.00613001,-0.01920499
64.0000,0.00296499,0.00600382,-0.01996818
68.0000,0.00322783,0.00581760,-0.02066039
72.0000,0.00349745,0.00557474,-0.02127960
76.0000,0.00377203,0.00527918,-0.02182378
80.0000,0.00404944,0.00493531,-0.02229089
84.0000,0.00432732,0.00454802,-0.02267902
88.0000,0.00460304,0.00412264,-0.02298636
92.0000,0.00487374,0.00366492,-0.02321131
96.0000,0.00513638,0.00318096,-0.02335253
100.0000,0.00538777,0.00267718,-0.02340897
104.0000,0.00562460,0.00216026,-0.02337990
108.0000,0.00584348,0.00163702,-0.02326498
112.0000,0.00604102,0.00111443,-0.02306424
116.0000,0.00621379,0.00059942,-0.02277811
120.0000,0.00635848,0.00009888,-0.02240740
124.0000,0.00647184,-0.00038045,-0.02195332
128.0000,0.00655077,-0.00083210,-0.02141738
132.0000,0.00659235,-0.00124992,-0.02080143
136.0000,0.00659385,-0.00162814,-0.02010754
140.0000,0.00655279,-0.00196151,-0.01933799
144.0000,0.00646694,-0.00224528,-0.01849518
148.0000,0.00633433,-0.00247531,-0.01758155
152.0000,0.00615329,-0.00264814,-0.01659951
156.0000,0.00592242,-0.00276094,-0.01555136
160.0000,0.00564065,-0.00281164,-0.01443923
164.0000,0.00530718,-0.00279891,-0.01326498
168.0000,0.00492154,-0.00272216,-0.01203014
172.0000,0.00448352,-0.00258161,-0.01073585
176.0000,0.00399326,-0.00237825,-0.00938280
180.0000,0.00345117,-0.00211391,-0.00797115
184.0000,0.00285798,-0.00179122,-0.00650054
188.0000,0.00221473,-0.00141367,-0.00497000
192.0000,0.00152278,-0.00098561,-0.00337797
196.0000,0.00078385,-0.00051232,-0.00172225
200.0000,0.00000000,0.00000000,0.00000000
