time,ax,ay,az
0.0000,0.00037282,0.00049191,0.00083344
4.0000,0.00038781,0.00047112,0.00074647
8.0000,0.00040281,0.00045035,0.00065951
12.0000,0.00041782,0.00042958,0.00057255
16.0000,0.00043282,0.00040881,0.00048558
20.0000,0.00044782,0.00038804,0.00039861
24.0000,0.00046282,0.00036726,0.00031165
28.0000,0.00047782,0.00034648,0.00022468
32.0000,0.00049282,0.00032571,0.00013772
36.0000,0.00050781,0.00030493,0.00005076
40.0000,0.00052281,0.00028416,-0.00003620
44.0000,0.00053781,0.00026338,-0.00012316
48.0000,0.00055281,0.00024261,-0.00021012
52.0000,0.00054618,0.00022168,-0.00026651
56.0000,0.00051086,0.00020194,-0.00027836
60.0000,0.00046848,0.00018353,-0.00027622
64.0000,0.00042609,0.00016512,-0.00027409
68.0000,0.00038371,0.00014671,-0.00027196
72.0000,0.00034132,0.00012830,-0.00026983
76.0000,0.00029894,0.00010990,-0.00026770
80.0000,0.00025655,0.00009149,-0.00026557
84.0000,0.00021417,0.00007308,-0.00026344
88.0000,0.00017178,0.00005467,-0.00026131
92.0000,0.00012940,0.00003626,-0.00025918
96.0000,0.00008701,0.00001785,-0.00025704
100.0000,0.00004463,-0.00000055,-0.00025491
104.0000,0.00000224,-0.00001896,-0.00025278
108.0000,-0.00004014,-0.00003737,-0.00025064
112.0000,-0.00008253,-0.00005578,-0.00024851
116.0000,-0.00012491,-0.00007419,-0.00024637
120.0000,-0.00016730,-0.00009259,-0.00024424
124.0000,-0.00020968,-0.00011100,-0.00024210
128.0000,-0.00025207,-0.00012941,-0.00023996
132.0000,-0.00029445,-0.00014781,-0.00023782
136.0000,-0.00033684,-0.00016622,-0.00023568
140.0000,-0.00037922,-0.00018463,-0.00023355
144.0000,-0.00042161,-0.00020304,-0.00023141
148.0000,-0.00046399,-0.00022144,-0.00022928
152.0000,-0.00049597,-0.00024103,-0.00019317
156.0000,-0.00051755,-0.00026178,-0.00012309
160.0000,-0.00053913,-0.00028254,-0.00005301
164.0000,-0.00056070,-0.00030329,0.00001707
168.0000,-0.00058228,-0.00032405,0.00008715
172.0000,-0.00060385,-0.00034481,0.00015723
176.0000,-0.00062543,-0.00036556,0.00022731
180.0000,-0.00064700,-0.00038631,0.00029740
184.0000,-0.00066858,-0.00040708,0.00036748
188.0000,-0.00069024,-0.00042791,0.00043748
192.0000,-0.00071171,-0.00044858,0.00050765
196.0000,-0.00073278,-0.00046892,0.00057749
