time,x,y,z
0.0000,0.00000000,-1.00000000,1.00000000
4.0000,0.00698254,-1.00406473,1.00666748
8.0000,0.02005009,-1.00042520,1.02597423
12.0000,0.03944262,-0.98941386,1.05652888
16.0000,0.06540020,-0.97136305,1.09693998
20.0000,0.09816286,-0.94660512,1.14581608
24.0000,0.13797066,-0.91547244,1.20176572
28.0000,0.18506359,-0.87829741,1.26339743
32.0000,0.23968161,-0.83541245,1.32931978
36.0000,0.30206469,-0.78714997,1.39814139
40.0000,0.37245281,-0.73384238,1.46847086
44.0000,0.45108594,-0.67582209,1.53891682
48.0000,0.53820405,-0.61342150,1.60808789
52.0000,0.63404713,-0.54697302,1.67459267
56.0000,0.73868213,-0.47681026,1.73728436
60.0000,0.85177350,-0.40325857,1.79561707
64.0000,0.97269959,-0.32662317,1.84951313
68.0000,1.10078221,-0.24719860,1.89900667
72.0000,1.23534321,-0.16527938,1.94413179
76.0000,1.37570442,-0.08116004,1.98492257
80.0000,1.52118768,0.00486487,2.02141309
84.0000,1.67111485,0.09250084,2.05363742
88.0000,1.82480776,0.18145332,2.08162964
92.0000,1.98158826,0.27142780,2.10542384
96.0000,2.14077821,0.36212973,2.12505413
100.0000,2.30169943,0.45326461,2.14055464
104.0000,2.46367377,0.54453789,2.15195949
108.0000,2.62602306,0.63565505,2.15930283
112.0000,2.78806916,0.72632157,2.16261879
116.0000,2.94913389,0.81624290,2.16194153
120.0000,3.10853910,0.90512452,2.15730520
124.0000,3.26560662,0.99267191,2.14874399
128.0000,3.41965830,1.07859055,2.13629210
132.0000,3.57001599,1.16258591,2.11998374
136.0000,3.71600152,1.24436348,2.09985315
140.0000,3.85693673,1.32362875,2.07593453
144.0000,3.99214345,1.40008721,2.04826209
148.0000,4.12094353,1.47344434,2.01687000
152.0000,4.24265880,1.54340562,1.98179241
156.0000,4.35669431,1.60966713,1.94333525
160.0000,4.46262161,1.67190616,1.90234803
164.0000,4.56009548,1.72979060,1.85995200
168.0000,4.64877073,1.78298838,1.81726844
172.0000,4.72830216,1.83116741,1.77541863
176.0000,4.79834459,1.87399559,1.73552384
180.0000,4.85855281,1.91114084,1.69870538
184.0000,4.90858164,1.94227109,1.66608460
188.0000,4.94808587,1.96705417,1.63878286
192.0000,4.97671961,1.98515734,1.61792082
196.0000,4.99413776,1.99624865,1.60461986
200.0000,5.00000000,2.00000000,1.60000000
