time,q0,q1,q2,q3
0.0000,-0.00000000,1.00000043,-0.00000001,-0.00000000
4.0000,-0.00015046,1.00000085,0.00173630,0.00085262
8.0000,-0.00059733,0.99998022,0.00687383,0.00335779
12.0000,-0.00133482,0.99987561,0.01527256,0.00740490
16.0000,-0.00236155,0.99959002,0.02679602,0.01287532
20.0000,-0.00367936,0.99899843,0.04130918,0.01964271
24.0000,-0.00529190,0.99795347,0.05867624,0.02757313
28.0000,-0.00720333,0.99629095,0.07875823,0.03652511
32.0000,-0.00941689,0.99383507,0.10141084,0.04634981
36.0000,-0.01193356,0.99040346,0.12648228,0.05689128
40.0000,-0.01475078,0.98581210,0.15381150,0.06798700
44.0000,-0.01786122,0.97987991,0.18322669,0.07946864
48.0000,-0.02125174,0.97243330,0.21454412,0.09116322
52.0000,-0.02490246,0.96331039,0.24756757,0.10289454
56.0000,-0.02878613,0.95236500,0.28208804,0.11448499
60.0000,-0.03286760,0.93947034,0.31788414,0.12575766
64.0000,-0.03710371,0.92452228,0.35472283,0.13653867
68.0000,-0.04144338,0.90744228,0.39236078,0.14665989
72.0000,-0.04582807,0.88817973,0.43054618,0.15596158
76.0000,-0.05019254,0.86671390,0.46902098,0.16429532
80.0000,-0.05446595,0.84305516,0.50752362,0.17152674
84.0000,-0.05857325,0.81724568,0.54579201,0.17753828
88.0000,-0.06243684,0.78935948,0.58356691,0.18223160
92.0000,-0.06597850,0.75950178,0.62059545,0.18552974
96.0000,-0.06912144,0.72780783,0.65663478,0.18737887
100.0000,-0.07179250,0.69444098,0.69145569,0.18774953
104.0000,-0.07392434,0.65959031,0.72484624,0.18663739
108.0000,-0.07545765,0.62346770,0.75661513,0.18406330
112.0000,-0.07634315,0.58630456,0.78659474,0.18007290
116.0000,-0.07654342,0.54834812,0.81464387,0.17473555
120.0000,-0.07603450,0.50985762,0.84064993,0.16814275
124.0000,-0.07480704,0.47110035,0.86453064,0.16040600
128.0000,-0.07286715,0.43234773,0.88623507,0.15165434
132.0000,-0.07023683,0.39387150,0.90574405,0.14203154
136.0000,-0.06695397,0.35594015,0.92306998,0.13169302
140.0000,-0.06307186,0.31881576,0.93825586,0.12080275
144.0000,-0.05865844,0.28275118,0.95137376,0.10953013
148.0000,-0.05379505,0.24798780,0.96252265,0.09804702
152.0000,-0.04857500,0.21475382,0.97182564,0.08652500
156.0000,-0.04310181,0.18326312,0.97942672,0.07513292
160.0000,-0.03748730,0.15371478,0.98548704,0.06403489
164.0000,-0.03184955,0.12629315,0.99018080,0.05338862
168.0000,-0.02631082,0.10116855,0.99369082,0.04334433
172.0000,-0.02099546,0.07849844,0.99620379,0.03404398
176.0000,-0.01602784,0.05842915,0.99790536,0.02562107
180.0000,-0.01153034,0.04109793,0.99897496,0.01820073
184.0000,-0.00762142,0.02663540,0.99958046,0.01190014
188.0000,-0.00441377,0.01516814,0.99987265,0.00682921
192.0000,-0.00201246,0.00682142,0.99997955,0.00309134
196.0000,-0.00051310,0.00172187,1.00000040,0.00078413
200.0000,0.00000000,-0.00000001,0.99999957,-0.00000000
