time,vx,vy,vz
0.0000,0.00100000,-0.00200000,-0.00000000
4.0000,0.00249127,-0.00003237,0.00333374
8.0000,0.00404250,0.00185213,0.00631964
12.0000,0.00565376,0.00365354,0.00895768
16.0000,0.00732503,0.00537186,0.01124787
20.0000,0.00905630,0.00700710,0.01319018
24.0000,0.01084759,0.00855924,0.01478463
28.0000,0.01269887,0.01002827,0.01603122
32.0000,0.01461014,0.01141420,0.01692996
36.0000,0.01658140,0.01271703,0.01748084
40.0000,0.01861265,0.01393676,0.01768389
44.0000,0.02070391,0.01507338,0.01753909
48.0000,0.02285515,0.01612691,0.01704644
52.0000,0.02506639,0.01709733,0.01620595
56.0000,0.02725112,0.01798405,0.01513989
60.0000,0.02929457,0.01879179,0.01402646
64.0000,0.03116847,0.01952590,0.01292157
68.0000,0.03287284,0.02018638,0.01182520
72.0000,0.03440766,0.02077323,0.01073736
76.0000,0.03577294,0.02128644,0.00965803
80.0000,0.03696869,0.02172602,0.00858723
84.0000,0.03799489,0.02209196,0.00752494
88.0000,0.03885156,0.02238428,0.00647117
92.0000,0.03953869,0.02260296,0.00542593
96.0000,0.04005628,0.02274801,0.00438922
100.0000,0.04040433,0.02281943,0.00336104
104.0000,0.04058284,0.02281721,0.00234139
108.0000,0.04059181,0.02274137,0.00133028
112.0000,0.04043124,0.02259189,0.00032770
116.0000,0.04010113,0.02236878,-0.00066633
120.0000,0.03960148,0.02207203,-0.00165183
124.0000,0.03893229,0.02170166,-0.00262878
128.0000,0.03809356,0.02125766,-0.00359717
132.0000,0.03708529,0.02074002,-0.00455701
136.0000,0.03590748,0.02014876,-0.00550829
140.0000,0.03456013,0.01948387,-0.00645102
144.0000,0.03304324,0.01874536,-0.00738520
148.0000,0.03135680,0.01793321,-0.00831085
152.0000,0.02950083,0.01704743,-0.00922795
156.0000,0.02751693,0.01608332,-0.01000063
160.0000,0.02544672,0.01503619,-0.01049299
164.0000,0.02329022,0.01390603,-0.01070503
168.0000,0.02104741,0.01269286,-0.01063675
172.0000,0.01871831,0.01139666,-0.01028816
176.0000,0.01630291,0.01001743,-0.00965924
180.0000,0.01380120,0.00855519,-0.00874999
184.0000,0.01121321,0.00700993,-0.00756040
188.0000,0.00853891,0.00538161,-0.00609047
192.0000,0.00577796,0.00366998,-0.00434055
196.0000,0.00293112,0.00187567,-0.00230994
200.0000,0.00000000,0.00000000,0.00000000
